UBIGEO;PROVINCIA;DISTRITO;TOTALPOB;SUPERFICIE
70101;CALLAO;CALLAO;451260;45.65
70102;CALLAO;BELLAVISTA;74851;4.56
70103;CALLAO;CARMEN DE LA LEGUA REYNOSO;42240;2.12
70104;CALLAO;LA PERLA;61417;2.75
70105;CALLAO;LA PUNTA;3829;18.38
70106;CALLAO;VENTANILLA;315600;69.93
70107;CALLAO;MI PERU;45297;2.52
150101;LIMA;LIMA;268352;21.98
150102;LIMA;ANCON;62928;285.45
150103;LIMA;ATE;599196;77.72
150104;LIMA;BARRANCO;34378;3.33
150105;LIMA;BREÑA;85309;3.22
150106;LIMA;CARABAYLLO;333045;303.31
150107;LIMA;CHACLACAYO;42912;39.5
150108;LIMA;CHORRILLOS;314241;38.94
150109;LIMA;CIENEGUILLA;34684;240.33
150110;LIMA;COMAS;520450;48.75
150111;LIMA;EL AGUSTINO;198862;12.54
150112;LIMA;INDEPENDENCIA;211360;14.56
150113;LIMA;JESUS MARIA;75359;4.57
150114;LIMA;LA MOLINA;140679;65.75
150115;LIMA;LA VICTORIA;173630;8.74
150116;LIMA;LINCE;54711;3.03
150117;LIMA;LOS OLIVOS;325884;18.25
150118;LIMA;LURIGANCHO;240814;236.47
150119;LIMA;LURIN;89195;180.26
150120;LIMA;MAGDALENA DEL MAR;60290;3.61
150121;LIMA;PUEBLO LIBRE;83323;4.38
150122;LIMA;MIRAFLORES;99337;9.62
150123;LIMA;PACHACAMAC;110071;160.23
150124;LIMA;PUCUSANA;14891;37.39
150125;LIMA;PUENTE PIEDRA;329675;72.81
150126;LIMA;PUNTA HERMOSA;15874;119.5
150127;LIMA;PUNTA NEGRA;7074;130.5
150128;LIMA;RIMAC;174785;11.87
150129;LIMA;SAN BARTOLO;7482;45.01
150130;LIMA;SAN BORJA;113247;9.96
150131;LIMA;SAN ISIDRO;60735;11.1
150132;LIMA;SAN JUAN DE LURIGANCHO;1038495;131.25
150133;LIMA;SAN JUAN DE MIRAFLORES;355219;22.97
150134;LIMA;SAN LUIS;52082;3.49
150135;LIMA;SAN MARTIN DE PORRES;654083;36.82
150136;LIMA;SAN MIGUEL;155384;10.72
150137;LIMA;SANTA ANITA;196214;10.69
150138;LIMA;SANTA MARIA DEL MAR;999;9.81
150139;LIMA;SANTA ROSA;27863;21.35
150140;LIMA;SANTIAGO DE SURCO;329152;35.89
150141;LIMA;SURQUILLO;91023;3.46
150142;LIMA;VILLA EL SALVADOR;393254;35.46
150143;LIMA;VILLA MARIA DEL TRIUNFO;398433;70.57
