"","PROVINCIA","DISTRITO","NCASOS","NCASOS10MIL","NCASOSKM2","NFALLECIDOS","NFALL10MIL","NFALLKM2","LETALIDAD","TOTALPOB","SUPERFICIE"
"1","LIMA","ANCON",884,140.47800661073,3.09686459975477,36,5.720823798627,0.126116657908565,4.07,62928,285.45
"2","LIMA","ATE",11270,188.085367726086,145.007720020587,457,7.62688669483775,5.88008234688626,4.06,599196,77.72
"3","LIMA","BARRANCO",915,266.1585897958,274.774774774775,36,10.4718133690151,10.8108108108108,3.93,34378,3.33
"4","CALLAO","BELLAVISTA",4517,603.465551562437,990.570175438597,101,13.4934737010862,22.1491228070175,2.24,74851,4.56
"5","LIMA","BREÑA",2890,338.768476948505,897.51552795031,142,16.6453715317258,44.0993788819876,4.91,85309,3.22
"6","CALLAO","CALLAO",11923,264.215751451491,261.18291347207,619,13.7171475424367,13.5596933187295,5.19,451260,45.65
"7","LIMA","CARABAYLLO",5029,151.000615532436,16.5803962942204,184,5.52477893377772,0.606640071214269,3.66,333045,303.31
"8","LIMA","CHACLACAYO",1048,244.220730797912,26.5316455696203,32,7.45712155108128,0.810126582278481,3.05,42912,39.5
"9","LIMA","CHORRILLOS",6491,206.561206207974,166.692347200822,315,10.0241534363753,8.08936825885979,4.85,314241,38.94
"10","LIMA","CIENEGUILLA",291,83.9003575135509,1.21083510173511,8,2.30653903817322,0.0332875629342987,2.75,34684,240.33
"11","LIMA","COMAS",12632,242.713036795081,259.117948717949,563,10.8175617254299,11.5487179487179,4.46,520450,48.75
"12","LIMA","EL AGUSTINO",8233,414.005692389697,656.539074960128,289,14.5326910118575,23.0462519936204,3.51,198862,12.54
"13",NA,"EN INVESTIGACIÓN",1171,NA,NA,NA,NA,NA,NA,NA,NA
"14","LIMA","INDEPENDENCIA",5517,261.023845571537,378.914835164835,224,10.5980317940954,15.3846153846154,4.06,211360,14.56
"15","LIMA","JESUS MARIA",8415,1116.65494499662,1841.35667396061,144,19.1085338181239,31.5098468271335,1.71,75359,4.57
"16","LIMA","LA MOLINA",1921,136.552008473191,29.2167300380228,76,5.40236993438964,1.15589353612167,3.96,140679,65.75
"17","CALLAO","LA PERLA",568,92.4825374082095,206.545454545455,47,7.65260432779198,17.0909090909091,8.27,61417,2.75
"18","CALLAO","LA PUNTA",39,101.854270044398,2.12187159956474,6,15.6698876991382,0.326441784548422,15.38,3829,18.38
"19","LIMA","LA VICTORIA",7903,455.163278235328,904.233409610984,368,21.1944940390485,42.1052631578947,4.66,173630,8.74
"20","LIMA","LIMA",18130,675.605175292153,824.84076433121,721,26.8676961602671,32.8025477707006,3.98,268352,21.98
"21","LIMA","LINCE",1837,335.764288717077,606.270627062706,76,13.8911736213924,25.0825082508251,4.14,54711,3.03
"22","LIMA","LOS OLIVOS",7375,226.307520467406,404.109589041096,249,7.64075560628935,13.6438356164384,3.38,325884,18.25
"23","LIMA","LURIGANCHO",2656,110.292590962319,11.2318687359919,103,4.27715996578272,0.435573222818962,3.88,240814,236.47
"24","LIMA","LURIN",1561,175.009809966926,8.65971374681016,61,6.83894837154549,0.338400088760679,3.91,89195,180.26
"25","LIMA","MAGDALENA DEL MAR",1465,242.992204345663,405.817174515235,55,9.12257422458119,15.2354570637119,3.75,60290,3.61
"26","CALLAO","MI PERU",551,121.641609819635,218.650793650794,23,5.07759895798839,9.12698412698413,4.17,45297,2.52
"27","LIMA","MIRAFLORES",2370,238.581797316206,246.361746361746,57,5.73804322659231,5.92515592515593,2.41,99337,9.62
"28","LIMA","PACHACAMAC",1042,94.6661700175341,6.50315171940336,41,3.72486849397207,0.255882169381514,3.93,110071,160.23
"29","LIMA","PUCUSANA",443,297.495131287355,11.8480877239904,13,8.73010543281177,0.347686547205135,2.93,14891,37.39
"30","LIMA","PUEBLO LIBRE",1811,217.346951021927,413.470319634703,94,11.2813988934628,21.4611872146119,5.19,83323,4.38
"31","LIMA","PUENTE PIEDRA",5576,169.1362705695,76.5828869660761,186,5.64192007279897,2.55459414915534,3.34,329675,72.81
"32","LIMA","PUNTA HERMOSA",131,82.5248834572257,1.09623430962343,5,3.14980471210785,0.0418410041841004,3.82,15874,119.5
"33","LIMA","PUNTA NEGRA",51,72.0949957591179,0.390804597701149,2,2.82725473565168,0.0153256704980843,3.92,7074,130.5
"34","LIMA","RIMAC",6037,345.395771948394,508.593091828138,239,13.6739422719341,20.1347935973041,3.96,174785,11.87
"35","LIMA","SAN BARTOLO",102,136.327185244587,2.26616307487225,7,9.35578722266774,0.15552099533437,6.86,7482,45.01
"36","LIMA","SAN BORJA",2675,236.20934770899,268.574297188755,56,4.94494335390783,5.62248995983936,2.09,113247,9.96
"37","LIMA","SAN ISIDRO",1683,277.105458137812,151.621621621622,31,5.10414094014983,2.79279279279279,1.84,60735,11.1
"38","LIMA","SAN JUAN DE LURIGANCHO",20809,200.376506386646,158.544761904762,1015,9.77375914183506,7.73333333333333,4.88,1038495,131.25
"39","LIMA","SAN JUAN DE MIRAFLORES",8193,230.646446276804,356.682629516761,354,9.96568314194905,15.4114061819765,4.32,355219,22.97
"40","LIMA","SAN LUIS",1804,346.376867247802,516.905444126074,52,9.98425559694328,14.8997134670487,2.88,52082,3.49
"41","LIMA","SAN MARTIN DE PORRES",14577,222.861624595044,395.8989679522,588,8.98968479535472,15.9695817490494,4.03,654083,36.82
"42","LIMA","SAN MIGUEL",3449,221.966225608814,321.735074626866,101,6.50002574267621,9.42164179104478,2.93,155384,10.72
"43","LIMA","SANTA ANITA",5849,298.092898569929,547.146866230122,258,13.148908844425,24.1347053320861,4.41,196214,10.69
"44","LIMA","SANTA MARIA DEL MAR",41,410.41041041041,4.17940876656473,NA,NA,NA,NA,999,9.81
"45","LIMA","SANTA ROSA",239,85.7768366651114,11.1943793911007,7,2.51229228726268,0.327868852459016,2.93,27863,21.35
"46","LIMA","SANTIAGO DE SURCO",6201,188.393204355435,172.777932571747,210,6.38003111024694,5.85121203677905,3.39,329152,35.89
"47","LIMA","SURQUILLO",2590,284.543467035804,748.554913294798,106,11.6454083033958,30.635838150289,4.09,91023,3.46
"48","CALLAO","VENTANILLA",3825,121.197718631179,54.6975546975547,174,5.51330798479087,2.48820248820249,4.55,315600,69.93
"49","LIMA","VILLA EL SALVADOR",9503,241.650434579178,267.992103778906,580,14.7487374572159,16.3564579808235,6.1,393254,35.46
"50","LIMA","VILLA MARIA DEL TRIUNFO",7062,177.244354759771,100.070851636673,341,8.55852803357152,4.83208162108545,4.83,398433,70.57
"51","CALLAO","CARMEN DE LA LEGUA REYNOSO",NA,NA,NA,66,15.625,31.1320754716981,NA,42240,2.12
